height,sex,age,percentage_under
4'10'',M,20-29,0
4'11'',M,20-29,0
5'00'',M,20-29,0
5'01'',M,20-29,0
5'02'',M,20-29,0
5'03'',M,20-29,0
5'04'',M,20-29,3.7
5'05'',M,20-29,7.2
5'06'',M,20-29,11.6
5'07'',M,20-29,20.6
5'08'',M,20-29,33.1
5'09'',M,20-29,42.2
5'10'',M,20-29,58.6
5'11'',M,20-29,70.7
6'00'',M,20-29,79.9
6'01'',M,20-29,89.0
6'02'',M,20-29,94.1
6'03'',M,20-29,98.3
6'04'',M,20-29,100
6'05'',M,20-29,100
6'06'',M,20-29,100
4'10'',M,30-39,0
4'11'',M,30-39,0
5'00'',M,30-39,0
5'01'',M,30-39,0
5'02'',M,30-39,0
5'03'',M,30-39,3.1
5'04'',M,30-39,4.4
5'05'',M,30-39,6.7
5'06'',M,30-39,13.1
5'07'',M,30-39,19.6
5'08'',M,30-39,32.2
5'09'',M,30-39,45.4
5'10'',M,30-39,58.1
5'11'',M,30-39,69.4
6'00'',M,30-39,78.5
6'01'',M,30-39,89
6'02'',M,30-39,94
6'03'',M,30-39,95.8
6'04'',M,30-39,97.6
6'05'',M,30-39,99.4
6'06'',M,30-39,99.5
6'07'',M,30-39,100
4'10'',M,40-49,
4'11'',M,40-49,
5'00'',M,40-49,
5'01'',M,40-49,
5'02'',M,40-49,
5'03'',M,40-49,
5'04'',M,40-49,
5'05'',M,40-49,
5'06'',M,40-49,
5'07'',M,40-49,
5'08'',M,40-49,
5'09'',M,40-49,
5'10'',M,40-49,
5'11'',M,40-49,
6'00'',M,40-49,
6'01'',M,40-49,
6'02'',M,40-49,
6'03'',M,40-49,
6'04'',M,40-49,
6'05'',M,40-49,
6'06'',M,40-49,
4'10'',M,50-59,
4'11'',M,50-59,
5'00'',M,50-59,
5'01'',M,50-59,
5'02'',M,50-59,
5'03'',M,50-59,
5'04'',M,50-59,
5'05'',M,50-59,
5'06'',M,50-59,
5'07'',M,50-59,
5'08'',M,50-59,
5'09'',M,50-59,
5'10'',M,50-59,
5'11'',M,50-59,
6'00'',M,50-59,
6'01'',M,50-59,
6'02'',M,50-59,
6'03'',M,50-59,
6'04'',M,50-59,
6'05'',M,50-59,
6'06'',M,50-59,
4'10'',M,60-69,
4'11'',M,60-69,
5'00'',M,60-69,
5'01'',M,60-69,
5'02'',M,60-69,
5'03'',M,60-69,
5'04'',M,60-69,
5'05'',M,60-69,
5'06'',M,60-69,
5'07'',M,60-69,
5'08'',M,60-69,
5'09'',M,60-69,
5'10'',M,60-69,
5'11'',M,60-69,
6'00'',M,60-69,
6'01'',M,60-69,
6'02'',M,60-69,
6'03'',M,60-69,
6'04'',M,60-69,
6'05'',M,60-69,
4'10'',M,70-79,
4'11'',M,70-79,
5'00'',M,70-79,
5'01'',M,70-79,
5'02'',M,70-79,
5'03'',M,70-79,
5'04'',M,70-79,
5'05'',M,70-79,
5'06'',M,70-79,
5'07'',M,70-79,
5'08'',M,70-79,
5'09'',M,70-79,
5'10'',M,70-79,
5'11'',M,70-79,
6'00'',M,70-79,
6'01'',M,70-79,
6'02'',M,70-79,
6'03'',M,70-79,
6'04'',M,70-79,
6'05'',M,70-79,